Community Group,weighted_avg_percent_2000,weighted_avg_percent_2001,weighted_avg_percent_2002,weighted_avg_percent_2003,weighted_avg_percent_2004,weighted_avg_percent_2005,weighted_avg_percent_2006,weighted_avg_percent_2007,weighted_avg_percent_2008,weighted_avg_percent_2009
Most,15.1,15.9,15.8,16.1,16.9,15.9,16.4,16.0,15.4,14.7
More,12.7,12.5,12.7,13.1,12.7,14.0,12.8,13.1,12.2,12.8
Moderately,10.8,10.2,10.8,9.9,10.5,11.1,10.3,10.3,10.0,9.7
Less,10.1,9.8,9.6,9.8,10.2,10.3,10.6,10.1,9.9,9.6
Least,9.4,10.0,11.0,11.1,10.9,10.3,11.2,9.8,10.2,9.3
Chicago,11.3,11.3,11.4,11.4,11.6,11.8,11.7,11.4,11,10.8
