Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
19,BELMONT CRAGIN,Moderately,1ST TRIMESTER,1065,72.1,8661,8.865777624,1271,74.6,9088,10.43316461,1219,76.5,9004,10.35689693,1209,76,9035,10.16978417,1148,72.6,8400,9.922,1278,78.9,8699,11.59147028,1360,81.8,9112,12.20895522,1320,78.1,8929,11.5457498,1251,78,8684,11.23652695,1168,74.1,8461,10.22914549
20,HERMOSA,More,1ST TRIMESTER,409,67.7,9123,3.035109065,471,76.2,9196,3.902805568,489,74.9,8919,4.106525395,472,73.8,8663,4.020962715,376,73,8197,3.34854215,445,75,8185,4.077580941,432,83.9,8503,4.262589674,418,77.1,8315,3.875862898,389,74.2,7848,3.67785423,396,77.5,7352,4.17437432
21,AVONDALE,Moderately,1ST TRIMESTER,578,68.6,8661,4.578085671,599,75.7,9088,4.98946963,649,76.4,9004,5.506841404,616,74.7,9035,5.092993913,552,71.6,8400,4.705142857,614,77.7,8699,5.48428555,633,80.1,9112,5.564453468,587,78.8,8929,5.180378542,624,79,8684,5.676646707,547,74.4,8461,4.809927905
22,LOGAN SQUARE,Moderately,1ST TRIMESTER,1170,69.8,8661,9.429165223,1178,73.9,9088,9.579027289,1116,75.3,9004,9.333051977,1219,78.5,9035,10.59120089,1017,71.8,8400,8.692928571,1092,78.9,8699,9.904448787,1153,83.1,9112,10.51517779,1033,78,8929,9.023854855,990,74.2,8684,8.459005067,1048,78.2,8461,9.686041839
23,HUMBOLDT PARK,More,1ST TRIMESTER,978,63.7,9123,6.828740546,983,67.5,9196,7.215365376,972,69.3,8919,7.552371342,937,69.2,8663,7.484751241,832,64.4,8197,6.536635354,913,72.3,8185,8.064740379,986,78.9,8503,9.149170881,988,75.1,8315,8.923487673,918,71.6,7848,8.375229358,780,70.9,7352,7.52203482
24,WEST TOWN,Less,1ST TRIMESTER,1032,71.6,6617,11.16687321,1052,76.3,6846,11.72474438,1041,79.4,6851,12.06472048,1010,77.2,6795,11.47490802,1040,78.3,6411,12.70191858,1134,80.5,6729,13.56620597,1105,80.5,6983,12.7384362,1124,78.4,6965,12.6520603,1106,72.6,6864,11.69807692,1171,75.5,6925,12.76685921
25,AUSTIN,More,1ST TRIMESTER,1576,73.2,9123,12.64531404,1541,74.6,9196,12.50093519,1473,76.6,8919,12.65072318,1473,73,8663,12.41244373,1300,68.6,8197,10.87959009,1375,73.8,8185,12.39767868,1502,79.6,8503,14.06082559,1483,75.6,8315,13.48343957,1419,76.3,7848,13.79583333,1321,72.9,7352,13.09859902
26,WEST GARFIELD PARK,Most,1ST TRIMESTER,290,61.1,5954,2.975982533,285,59.7,5858,2.904489587,316,68.7,5525,3.929266968,272,66.3,5236,3.444155844,238,62.6,5118,2.911059007,245,62.2,5002,3.046581367,275,76,5219,4.004598582,310,73.1,5307,4.270020727,298,74.7,5085,4.377699115,265,71.4,4748,3.985046335
27,EAST GARFIELD PARK,More,1ST TRIMESTER,271,62,9123,1.841718733,252,60,9196,1.644193127,255,66.9,8919,1.91271443,272,65.9,8663,2.069121551,276,69.9,8197,2.353592778,296,70.5,8185,2.549541845,283,75.7,8503,2.519475479,298,74.5,8315,2.669993987,313,76.5,7848,3.05103211,292,73.2,7352,2.907290533
28,NEAR WEST SIDE,Moderately,1ST TRIMESTER,520,69,8661,4.142708694,551,73.4,9088,4.450198063,554,79.1,9004,4.866881386,624,78.2,9035,5.400863309,563,76.9,8400,5.154130952,566,78.8,8699,5.12711806,621,82.4,9112,5.61571554,620,77,8929,5.346623362,706,76,8684,6.178719484,762,77.6,8461,6.988677461
