Community Group,weighted_avg_percent_2000,weighted_avg_percent_2001,weighted_avg_percent_2002,weighted_avg_percent_2003,weighted_avg_percent_2004,weighted_avg_percent_2005,weighted_avg_percent_2006,weighted_avg_percent_2007,weighted_avg_percent_2008,weighted_avg_percent_2009
Most,4.2,4.2,3.4,3.7,3.2,2.8,2.3,2.6,2.2,2.7
More,3.8,3.5,2.8,2.5,2.6,2.4,2.0,1.8,1.7,1.9
Moderately,4.8,3.7,3.1,2.9,2.7,2.3,1.6,1.5,1.4,2.0
Less,4.7,3.7,3.2,2.3,2.3,1.6,1.5,1.5,1.8,2.5
Least,3.1,2.2,2.3,1.2,1.6,1.5,1.4,1.1,1.3,1.3
Chicago,3.6,3.0,2.5,2.2,2.1,1.7,1.5,1.5,1.4,1.7
