Community Group,weighted_avg_percent_2000,weighted_avg_percent_2001,weighted_avg_percent_2002,weighted_avg_percent_2003,weighted_avg_percent_2004,weighted_avg_percent_2005,weighted_avg_percent_2006,weighted_avg_percent_2007,weighted_avg_percent_2008,weighted_avg_percent_2009
Most,5.6,4.7,4.3,4.6,4.3,4.1,4.3,3.7,3.5,3.3
More,4.1,3.2,3.0,2.9,2.1,2.4,2.1,2.8,2.5,2.5
Moderately,3.2,2.1,2.3,2.2,1.9,1.9,1.9,1.4,1.2,1.2
Less,2.5,1.2,1.0,0.7,0.8,0.7,1.0,0.6,0.5,0.4
Least,1.4,1.3,0.9,1.5,0.8,0.6,0.7,0.8,0.6,1.3
Chicago,2.7,2.0,1.7,1.7,1.5,1.4,1.4,1.4,1.2,1.1
