Community Group,weighted_avg_percent_2000,weighted_avg_percent_2001,weighted_avg_percent_2002,weighted_avg_percent_2003,weighted_avg_percent_2004,weighted_avg_percent_2005,weighted_avg_percent_2006,weighted_avg_percent_2007,weighted_avg_percent_2008,weighted_avg_percent_2009
Most,20.9,19.9,18.6,20.1,20.2,19.4,17.5,17.6,18.2,19.5
More,20.6,18.0,17.2,16.6,16.0,15.3,13.8,14.1,13.7,14.4
Moderately,21.4,17.5,16.5,14.7,13.9,12.3,11.6,10.8,11.1,11.3
Less,17.7,14.0,13.4,11.2,10.4,9.6,9.8,9.6,9.3,10.0
Least,11.9,11.5,9.4,10.0,8.6,8.4,8.6,8.4,8.4,7.2
Chicago,18.4,15.8,14.9,13.9,13.3,12.3,11.6,11.3,11.2,11.4
